epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,61345.3,0.6751,0.67855,0.49485,0.92828,0.86327,0.86486,0.83881,0.51548,0.91723,0.91892,0.87966,0.64747,1.25251,3.97541,0.66912,1.46018,0.006436,0.006436,0.006436
74,61619.8,0.67517,0.69703,0.49966,0.93197,0.88942,0.86953,0.8835,0.52227,0.93089,0.91007,0.90066,0.69285,1.227,3.7114,0.64929,1.47488,0.0063865,0.0063865,0.0063865
75,61879.4,0.67811,0.6698,0.49414,0.93134,0.87701,0.87838,0.85957,0.50484,0.91749,0.91892,0.87903,0.65697,1.24436,3.78692,0.65343,1.48482,0.006337,0.006337,0.006337
76,62139.2,0.67338,0.68809,0.49037,0.92897,0.87375,0.86486,0.83738,0.46356,0.92843,0.91892,0.87768,0.65309,1.33246,3.77604,0.68194,1.56506,0.0062875,0.0062875,0.0062875
77,62390.4,0.68584,0.69467,0.49574,0.93171,0.88503,0.86486,0.85302,0.48592,0.94034,0.91892,0.90114,0.65877,1.34152,4.1036,0.69798,1.52917,0.006238,0.006238,0.006238
78,62643.9,0.6974,0.71729,0.50301,0.93382,0.9147,0.86948,0.8484,0.49235,0.95735,0.91002,0.90589,0.69303,1.32151,3.63433,0.65707,1.46111,0.0061885,0.0061885,0.0061885
79,62900.6,0.6756,0.65892,0.48793,0.92671,0.88159,0.85135,0.86287,0.51419,0.93756,0.90541,0.91089,0.70316,1.25391,4.26196,0.63254,1.44589,0.006139,0.006139,0.006139
80,63152.9,0.68659,0.67826,0.48889,0.94052,0.88643,0.86486,0.86378,0.49271,0.94219,0.91892,0.90083,0.66171,1.30449,3.46079,0.69306,1.51476,0.0060895,0.0060895,0.0060895
81,63403.7,0.67702,0.65572,0.48644,0.93953,0.89657,0.86486,0.87836,0.51996,0.93036,0.91892,0.89785,0.67812,1.20351,3.47486,0.68947,1.42323,0.00604,0.00604,0.00604
82,63673.5,0.67235,0.66927,0.4806,0.92675,0.88575,0.86486,0.82639,0.48495,0.94111,0.91892,0.89038,0.65257,1.30813,3.40832,0.65431,1.49686,0.0059905,0.0059905,0.0059905
83,63929.7,0.6729,0.64864,0.47299,0.93074,0.88736,0.86486,0.8676,0.4873,0.94282,0.91892,0.90679,0.6844,1.25648,3.55409,0.69667,1.45893,0.005941,0.005941,0.005941
84,64187.2,0.66212,0.64046,0.4815,0.93051,0.86384,0.86486,0.83703,0.48788,0.91788,0.91892,0.89077,0.66241,1.2834,4.02586,0.67231,1.48525,0.0058915,0.0058915,0.0058915
85,64442.8,0.6507,0.68134,0.48024,0.91845,0.87452,0.86486,0.81338,0.48227,0.92918,0.91892,0.88423,0.65118,1.3157,4.19158,0.69788,1.50177,0.005842,0.005842,0.005842
86,64710,0.64591,0.63221,0.45742,0.91511,0.86392,0.86486,0.82768,0.47281,0.91792,0.91892,0.88002,0.63915,1.35193,4.35636,0.72888,1.52129,0.0057925,0.0057925,0.0057925
87,64963.5,0.65259,0.66984,0.46681,0.92173,0.86197,0.86486,0.83488,0.42813,0.91584,0.91892,0.90293,0.67742,1.48267,3.66641,0.74558,1.63054,0.005743,0.005743,0.005743
88,65213,0.66131,0.67127,0.47231,0.92956,0.86385,0.86486,0.85186,0.45835,0.91793,0.91892,0.90256,0.68275,1.43613,3.75899,0.7006,1.59507,0.0056935,0.0056935,0.0056935
89,65475.5,0.64177,0.67254,0.46854,0.92132,0.90013,0.87838,0.85173,0.47663,0.94167,0.91892,0.90478,0.69396,1.41809,3.69127,0.67945,1.57457,0.005644,0.005644,0.005644
90,65731.7,0.65628,0.66379,0.47887,0.9242,0.90165,0.87838,0.84306,0.48937,0.94326,0.91892,0.89933,0.68692,1.33798,3.71288,0.62592,1.49953,0.0055945,0.0055945,0.0055945
