epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1035.09,0.87423,1.10073,0.96605,0.92654,0.66141,0.71599,0.74087,0.57525,0.67352,0.70732,0.73586,0.47009,0.79648,0.9056,0.97382,0.91464,0.006997,0.006997,0.006997
93,1046.23,0.87741,1.12659,0.97628,0.92994,0.6575,0.70421,0.71957,0.56234,0.65556,0.69223,0.71175,0.44385,0.80207,0.94739,1.07835,0.92234,0.006964,0.006964,0.006964
94,1056.89,0.86319,1.08392,0.9226,0.9219,0.7033,0.67338,0.71669,0.55238,0.70489,0.67169,0.71326,0.43093,0.8062,0.94962,1.04129,0.92633,0.006931,0.006931,0.006931
95,1067.59,0.83824,1.02128,0.88871,0.90747,0.68332,0.66772,0.71615,0.55149,0.67937,0.66149,0.70726,0.4354,0.81528,0.93962,0.99351,0.92975,0.006898,0.006898,0.006898
96,1078.45,0.85701,1.07275,0.92633,0.91543,0.68069,0.69141,0.73609,0.58117,0.68351,0.6937,0.73347,0.45947,0.78693,0.91679,0.94475,0.92072,0.006865,0.006865,0.006865
97,1089.45,0.89222,1.13207,0.94549,0.92633,0.61707,0.63062,0.66165,0.51032,0.61633,0.6298,0.65737,0.41029,0.79799,0.97441,1.2254,0.92322,0.006832,0.006832,0.006832
98,1100.84,0.86515,1.07897,0.92411,0.9179,0.68432,0.68883,0.72,0.56261,0.68105,0.68581,0.71439,0.4489,0.78963,0.94599,1.02861,0.91701,0.006799,0.006799,0.006799
99,1111.7,0.86101,1.09319,0.92378,0.92151,0.7395,0.7008,0.75517,0.60001,0.73851,0.7005,0.74988,0.47601,0.76203,0.90044,0.91556,0.90753,0.006766,0.006766,0.006766
100,1122.97,0.8511,1.08496,0.90957,0.918,0.70823,0.68499,0.74307,0.58461,0.71303,0.67736,0.73735,0.45421,0.77317,0.95947,0.97717,0.91313,0.006733,0.006733,0.006733
101,1134.66,0.84461,1.06673,0.89658,0.916,0.70276,0.73181,0.76475,0.59929,0.70235,0.72851,0.75833,0.47839,0.78141,0.89989,0.91212,0.9146,0.0067,0.0067,0.0067
102,1146.01,0.84901,1.07393,0.90132,0.92004,0.70216,0.68245,0.72622,0.56946,0.69076,0.68101,0.72079,0.44665,0.80253,0.96219,1.00913,0.92069,0.006667,0.006667,0.006667
103,1156.91,0.85858,1.08619,0.89193,0.91795,0.70882,0.72178,0.75785,0.59658,0.70419,0.71702,0.75127,0.46629,0.76955,0.92713,1.02,0.91375,0.006634,0.006634,0.006634
104,1167.68,0.85573,1.07105,0.89591,0.91625,0.72531,0.72453,0.75553,0.59982,0.71749,0.71451,0.74667,0.47759,0.75386,0.90528,0.93072,0.90695,0.006601,0.006601,0.006601
105,1178.54,0.83808,1.04897,0.87747,0.91006,0.72193,0.70389,0.74824,0.59287,0.71907,0.70025,0.73918,0.46721,0.77518,0.90491,0.96277,0.91091,0.006568,0.006568,0.006568
106,1189.37,0.84285,1.04981,0.87687,0.91094,0.71088,0.72954,0.74967,0.59194,0.7091,0.72655,0.74435,0.47251,0.76845,0.90465,0.98507,0.90949,0.006535,0.006535,0.006535
107,1200.14,0.85077,1.08373,0.87876,0.91968,0.73788,0.69077,0.74311,0.59073,0.73532,0.68793,0.7382,0.46386,0.76165,0.89602,0.98031,0.90642,0.006502,0.006502,0.006502
108,1210.89,0.85054,1.05538,0.87395,0.91623,0.72193,0.71529,0.76635,0.60989,0.71974,0.71287,0.76037,0.47756,0.75955,0.91754,0.89685,0.90576,0.006469,0.006469,0.006469
109,1222,0.8465,1.06659,0.87652,0.9153,0.66298,0.70823,0.72757,0.57733,0.65848,0.70066,0.72057,0.43242,0.78635,0.98597,1.11403,0.91199,0.006436,0.006436,0.006436
110,1232.76,0.83523,1.05345,0.85824,0.90639,0.70674,0.69675,0.74888,0.58898,0.70723,0.69433,0.74516,0.46113,0.77763,0.91886,1.00446,0.91216,0.006403,0.006403,0.006403
111,1243.52,0.83118,1.07262,0.86295,0.90692,0.69074,0.67649,0.72375,0.57127,0.70246,0.67259,0.71935,0.45207,0.75835,0.93389,1.04409,0.90478,0.00637,0.00637,0.00637
112,1254.28,0.83216,1.07413,0.85005,0.9131,0.77105,0.70921,0.77713,0.61849,0.76874,0.70586,0.76856,0.4769,0.76849,0.94351,0.91988,0.91207,0.006337,0.006337,0.006337
113,1265.49,0.836,1.06642,0.85471,0.91335,0.77759,0.72755,0.79777,0.6433,0.77568,0.72525,0.79106,0.50571,0.75295,0.91436,0.83693,0.90335,0.006304,0.006304,0.006304
114,1276.9,0.84101,1.06939,0.86079,0.91066,0.74123,0.7098,0.76325,0.61601,0.74195,0.70761,0.75879,0.47741,0.75141,0.92307,0.93355,0.90053,0.006271,0.006271,0.006271
115,1287.54,0.82433,1.03458,0.83048,0.90733,0.78616,0.712,0.79782,0.63846,0.78297,0.70869,0.7927,0.50786,0.7479,0.88167,0.83146,0.89753,0.006238,0.006238,0.006238
116,1298.47,0.85532,1.07825,0.85838,0.91461,0.748,0.72199,0.7843,0.62459,0.73947,0.71349,0.77096,0.49082,0.7585,0.86741,0.88463,0.90142,0.006205,0.006205,0.006205
117,1309.86,0.82785,1.0315,0.82346,0.90472,0.79592,0.71583,0.79082,0.63711,0.79376,0.71342,0.78655,0.51074,0.73033,0.864,0.85828,0.89052,0.006172,0.006172,0.006172
118,1320.57,0.8127,1.00564,0.81113,0.90044,0.76421,0.70857,0.77869,0.62418,0.76234,0.70393,0.77063,0.47914,0.74093,0.9065,0.9019,0.898,0.006139,0.006139,0.006139
119,1331.25,0.8193,1.05743,0.81579,0.90873,0.77559,0.7066,0.7806,0.6291,0.79117,0.69461,0.77303,0.48915,0.72515,0.89202,0.9026,0.89533,0.006106,0.006106,0.006106
120,1341.87,0.80949,1.01887,0.81014,0.90208,0.7691,0.73529,0.79083,0.6414,0.76768,0.7318,0.78497,0.48747,0.73268,0.90523,0.91006,0.89376,0.006073,0.006073,0.006073
121,1352.49,0.80561,1.01699,0.79514,0.90114,0.74533,0.73831,0.78702,0.63461,0.73809,0.73058,0.77323,0.48064,0.72583,0.90645,0.89241,0.89208,0.00604,0.00604,0.00604
122,1363.11,0.81573,1.02345,0.81955,0.90613,0.72589,0.74417,0.78061,0.62508,0.72541,0.74178,0.7751,0.48474,0.74526,0.87738,0.9196,0.89504,0.006007,0.006007,0.006007
123,1373.78,0.81159,1.01589,0.80978,0.90343,0.76313,0.75579,0.81476,0.6581,0.75932,0.75314,0.8089,0.51781,0.73225,0.85693,0.81552,0.89121,0.005974,0.005974,0.005974
124,1385.5,0.82509,1.0407,0.81309,0.90405,0.73481,0.77969,0.80494,0.6509,0.72819,0.77292,0.79382,0.50197,0.73826,0.87342,0.84415,0.89294,0.005941,0.005941,0.005941
125,1396.14,0.79199,1.00557,0.77399,0.89607,0.77969,0.73742,0.80234,0.64797,0.77883,0.73182,0.79647,0.498,0.73361,0.87375,0.83068,0.8916,0.005908,0.005908,0.005908
126,1406.92,0.81312,1.04729,0.78769,0.90121,0.79708,0.77054,0.83136,0.67528,0.80379,0.76497,0.82533,0.53395,0.72363,0.8566,0.76663,0.89253,0.005875,0.005875,0.005875
127,1418.1,0.80963,1.01678,0.78363,0.89931,0.74647,0.75926,0.78837,0.6334,0.74312,0.75454,0.78207,0.48993,0.74784,0.88085,0.88222,0.89985,0.005842,0.005842,0.005842
128,1428.96,0.80062,0.9926,0.77166,0.89581,0.7816,0.71596,0.7784,0.62697,0.78202,0.71077,0.77247,0.47937,0.73008,0.90403,0.93401,0.89307,0.005809,0.005809,0.005809
129,1439.97,0.81163,1.02445,0.78645,0.9004,0.77342,0.77143,0.81024,0.65384,0.76655,0.76333,0.80026,0.49978,0.72763,0.86852,0.82688,0.89652,0.005776,0.005776,0.005776
130,1451.19,0.79372,1.00392,0.75871,0.89603,0.73143,0.74523,0.7977,0.65027,0.72707,0.73836,0.78524,0.49824,0.72731,0.87365,0.87854,0.89083,0.005743,0.005743,0.005743
131,1462.17,0.80413,1.0322,0.77567,0.90072,0.79371,0.72853,0.81533,0.66791,0.79284,0.72354,0.80884,0.51468,0.70565,0.87529,0.81137,0.88734,0.00571,0.00571,0.00571
132,1473.09,0.79341,1.01196,0.75281,0.89733,0.82521,0.76994,0.8445,0.68842,0.82283,0.76868,0.83994,0.54216,0.69933,0.83253,0.73295,0.88366,0.005677,0.005677,0.005677
