epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,543.983,1.03379,1.28764,1.22126,0.97351,0.60865,0.62468,0.63537,0.46185,0.60125,0.61627,0.62626,0.37408,0.91256,1.06212,1.22554,0.96184,0.007129,0.007129,0.007129
89,550.082,1.01259,1.24673,1.20491,0.96278,0.62818,0.61359,0.62395,0.45614,0.62675,0.61194,0.62087,0.38339,0.90326,1.04887,1.19782,0.95835,0.007096,0.007096,0.007096
90,555.88,1.01863,1.26517,1.20166,0.97142,0.55801,0.61693,0.59088,0.42544,0.55024,0.60874,0.58219,0.3576,0.9244,1.06779,1.31748,0.96399,0.007063,0.007063,0.007063
91,561.657,1.04023,1.29092,1.2135,0.97442,0.55552,0.61134,0.57211,0.41588,0.55427,0.60932,0.56474,0.32732,0.93714,1.16095,1.42497,0.98263,0.00703,0.00703,0.00703
92,567.519,1.023,1.27909,1.20284,0.97318,0.56711,0.63249,0.6061,0.43852,0.58778,0.60878,0.6001,0.35586,0.89173,1.03096,1.27168,0.95505,0.006997,0.006997,0.006997
93,573.244,1.02735,1.31,1.21004,0.97739,0.57361,0.64276,0.62135,0.44419,0.56936,0.63797,0.61305,0.36106,0.91448,1.06959,1.22216,0.958,0.006964,0.006964,0.006964
94,579.004,1.01044,1.25977,1.18157,0.9686,0.52717,0.63454,0.59262,0.42377,0.53591,0.62824,0.59157,0.34891,0.92762,1.07285,1.28885,0.97713,0.006931,0.006931,0.006931
95,584.616,0.98342,1.19924,1.15044,0.95463,0.57115,0.64462,0.63263,0.46284,0.56731,0.6394,0.62649,0.38257,0.90418,1.041,1.20411,0.95742,0.006898,0.006898,0.006898
96,590.519,1.01266,1.24904,1.18639,0.96765,0.58047,0.59628,0.60639,0.44536,0.5819,0.59325,0.60659,0.37075,0.91696,1.0671,1.22749,0.96461,0.006865,0.006865,0.006865
97,596.313,1.03488,1.29979,1.18775,0.97274,0.58654,0.59779,0.61698,0.45177,0.58417,0.59331,0.61078,0.36386,0.90909,1.0949,1.17124,0.96503,0.006832,0.006832,0.006832
98,602.15,1.011,1.25184,1.18042,0.96493,0.52345,0.64641,0.59344,0.42578,0.51491,0.63744,0.57742,0.33723,0.92417,1.0935,1.27784,0.96592,0.006799,0.006799,0.006799
99,608.103,1.02019,1.26767,1.18312,0.9718,0.54692,0.62605,0.6011,0.43504,0.54243,0.61878,0.59424,0.35297,0.90185,1.05788,1.33131,0.95924,0.006766,0.006766,0.006766
100,613.916,1.00796,1.27348,1.1708,0.96568,0.47233,0.63428,0.58477,0.41866,0.47891,0.61782,0.57632,0.33515,0.91039,1.0961,1.45371,0.96098,0.006733,0.006733,0.006733
