                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.89984,                 1.1358,                0.97498,                0.93325,                0.67511,                0.67024,                0.70552,                 0.5508,                0.66939,                 0.6641,                0.69674,                0.42988,                0.81966,                0.95331,                 1.0941,                0.92963,               0.007954,               0.007954,               0.007954
                     64,                0.88642,                 1.1107,                0.95978,                 0.9289,                0.68082,                 0.6319,                0.68801,                0.52974,                0.67905,                0.63074,                0.68425,                0.41517,                0.83276,                0.95685,                 1.1866,                0.94132,               0.007921,               0.007921,               0.007921
                     65,                0.89982,                  1.137,                0.96616,                0.93491,                0.64346,                0.63303,                0.66725,                0.50449,                0.64094,                0.63153,                0.66216,                0.39773,                 0.8301,                0.97172,                 1.1901,                 0.9361,               0.007888,               0.007888,               0.007888
                     66,                0.89625,                 1.1364,                 0.9582,                0.93275,                0.65596,                0.69468,                0.70005,                 0.5391,                0.65682,                0.69446,                0.69668,                0.40946,                0.83818,                0.99014,                 1.0998,                0.94209,               0.007855,               0.007855,               0.007855
                     67,                0.89712,                 1.1138,                0.93526,                0.92491,                0.67751,                0.66863,                0.70155,                0.55135,                0.67539,                0.66622,                0.69712,                0.43575,                0.79792,                 0.9534,                 1.0694,                0.92172,               0.007822,               0.007822,               0.007822
                     68,                0.89177,                  1.098,                 0.9243,                0.92379,                0.70637,                0.71677,                0.75026,                0.58954,                0.70485,                0.71224,                0.74307,                0.46959,                0.78671,                 0.9231,                0.96845,                0.92199,               0.007789,               0.007789,               0.007789
                     69,                0.87698,                 1.1098,                0.91935,                0.92832,                 0.7114,                0.65748,                0.71347,                0.55089,                0.70922,                  0.655,                0.70651,                0.42119,                0.80612,                0.96367,                 1.1283,                0.92941,               0.007756,               0.007756,               0.007756
                     70,                0.86408,                 1.0938,                0.89256,                0.92273,                0.72285,                 0.7152,                0.75934,                0.59078,                0.72249,                0.71038,                0.75193,                0.45097,                0.80448,                0.95114,                0.93582,                 0.9252,               0.007723,               0.007723,               0.007723
                     71,                0.87524,                 1.1012,                 0.9046,                0.92213,                0.74059,                0.69794,                0.75462,                0.59741,                0.73599,                0.69452,                0.74742,                0.46681,                0.79552,                0.92881,                0.92484,                0.92353,                0.00769,                0.00769,                0.00769
                     72,                0.86603,                 1.0786,                0.88408,                0.91824,                0.72983,                0.71886,                0.76758,                 0.6037,                0.72955,                0.71722,                0.76279,                0.47662,                0.78098,                0.91648,                0.90857,                0.91558,               0.007657,               0.007657,               0.007657
                     73,                0.85778,                 1.0952,                0.88192,                0.91767,                0.69588,                0.72633,                0.75948,                0.58828,                0.69305,                0.72185,                0.75156,                0.45425,                 0.8064,                0.91879,                0.97452,                0.92409,               0.007624,               0.007624,               0.007624
                     74,                 0.8776,                 1.1192,                 0.9067,                0.92784,                0.70631,                0.68347,                0.75659,                0.59133,                 0.7042,                0.68132,                0.75164,                0.47047,                0.81009,                0.92861,                0.95251,                0.92663,               0.007591,               0.007591,               0.007591
                     75,                0.87108,                 1.1128,                0.89521,                0.92428,                0.68649,                0.72007,                 0.7517,                0.58214,                0.67848,                0.71194,                0.73939,                0.44578,                0.81515,                0.98635,                0.93675,                0.93433,               0.007558,               0.007558,               0.007558
                     76,                0.87185,                 1.1262,                0.89403,                0.92453,                 0.7058,                0.73978,                 0.7641,                0.58998,                0.70557,                0.73595,                 0.7557,                0.47144,                 0.8072,                 0.9073,                 1.0503,                0.92566,               0.007525,               0.007525,               0.007525
                     77,                0.85001,                 1.0804,                0.86068,                0.91873,                0.73105,                0.70434,                0.76674,                0.59728,                0.72761,                0.70064,                0.75817,                0.45526,                0.78969,                0.93039,                0.92924,                0.91795,               0.007492,               0.007492,               0.007492
                     78,                0.84939,                 1.0727,                0.83688,                0.91333,                0.71777,                0.75539,                0.78444,                0.62056,                0.71515,                 0.7522,                0.77721,                0.48307,                0.78491,                 0.9134,                0.86985,                0.91449,               0.007459,               0.007459,               0.007459
                     79,                0.84639,                 1.0604,                0.83571,                0.91702,                0.75924,                0.74332,                0.79491,                0.62783,                0.75612,                0.73828,                0.78824,                0.49278,                 0.7863,                0.88843,                0.86312,                0.90949,               0.007426,               0.007426,               0.007426
                     80,                0.86006,                    1.1,                0.84581,                0.91916,                0.71223,                0.69417,                0.74166,                0.57593,                 0.7075,                0.68842,                0.73012,                 0.4486,                0.80914,                0.96093,                 1.1099,                0.92317,               0.007393,               0.007393,               0.007393
                     81,                 0.8439,                  1.058,                0.82777,                0.90966,                 0.7534,                 0.7125,                 0.7603,                0.60192,                0.75288,                0.70179,                0.75183,                0.45281,                0.79205,                0.95031,                 1.0592,                0.92171,                0.00736,                0.00736,                0.00736
                     82,                0.84064,                 1.0738,                 0.8248,                0.91487,                0.77964,                0.73317,                  0.797,                0.63067,                0.77827,                0.73012,                0.78924,                0.47734,                0.77252,                0.91917,                0.87344,                0.91024,               0.007327,               0.007327,               0.007327
                     83,                0.84508,                 1.0868,                0.82841,                0.91619,                0.79212,                0.73864,                0.80827,                0.63412,                0.78994,                0.73553,                0.79863,                0.48957,                0.78775,                0.90291,                0.87392,                0.91624,               0.007294,               0.007294,               0.007294
                     84,                0.83216,                 1.0544,                0.80483,                0.90467,                0.67841,                0.75667,                 0.7606,                 0.6014,                0.67351,                0.74915,                0.75102,                0.45421,                0.77444,                 0.9287,                 1.0605,                0.91212,               0.007261,               0.007261,               0.007261
                     85,                0.85421,                 1.1121,                0.84498,                0.91714,                 0.7208,                0.76367,                0.79557,                0.62524,                0.72249,                0.74954,                 0.7841,                0.47639,                0.79289,                0.94354,                0.91461,                0.92171,               0.007228,               0.007228,               0.007228
                     86,                0.85587,                 1.0787,                0.82925,                0.91742,                0.80072,                0.74835,                0.82003,                0.64511,                0.79668,                0.74392,                0.81007,                0.50664,                0.75913,                0.88498,                0.88122,                0.91063,               0.007195,               0.007195,               0.007195
                     87,                0.82973,                 1.0522,                0.80028,                0.90998,                0.78686,                0.78307,                0.83288,                0.66187,                0.78399,                 0.7798,                0.82726,                0.52588,                0.73513,                0.84268,                0.80663,                0.90511,               0.007162,               0.007162,               0.007162
                     88,                 0.8292,                 1.0644,                0.80132,                0.90911,                 0.8087,                0.75569,                 0.8268,                0.66371,                0.80423,                0.75103,                0.81853,                0.51856,                 0.7242,                0.86019,                0.78879,                0.90219,               0.007129,               0.007129,               0.007129
                     89,                0.82025,                 1.0504,                0.79775,                0.90717,                0.81007,                0.77491,                0.83345,                0.67134,                0.80998,                0.76857,                0.82429,                0.52143,                0.72905,                0.85228,                0.74301,                0.89579,               0.007096,               0.007096,               0.007096
                     90,                0.81676,                 1.0491,                0.77222,                0.90454,                0.78546,                0.70322,                0.77767,                0.61646,                0.77336,                0.70313,                 0.7689,                 0.4674,                0.74212,                0.92243,                0.94364,                0.90417,               0.007063,               0.007063,               0.007063
                     91,                0.81979,                 1.0576,                0.77802,                0.90842,                0.76334,                0.79183,                0.84151,                0.67923,                 0.7666,                0.77935,                0.83134,                0.53143,                0.72035,                0.84749,                0.75995,                0.89229,                0.00703,                0.00703,                0.00703
                     92,                 0.7984,                 1.0228,                0.75667,                 0.9023,                0.80468,                0.74091,                0.82393,                0.65773,                0.80216,                0.73974,                0.81652,                0.50917,                0.74948,                0.90975,                0.79739,                0.90572,               0.006997,               0.006997,               0.006997
                     93,                0.83302,                 1.0758,                0.78994,                0.91202,                0.82613,                0.76056,                0.83876,                0.66623,                0.82514,                0.75717,                0.83208,                0.51727,                0.74519,                0.89446,                0.79088,                0.90199,               0.006964,               0.006964,               0.006964
                     94,                0.81934,                  1.051,                0.77404,                0.90779,                0.75876,                0.78892,                0.82042,                0.65627,                0.75239,                 0.7818,                0.80924,                0.49326,                0.73984,                 0.8881,                0.88766,                0.90009,               0.006931,               0.006931,               0.006931
                     95,                0.80988,                 1.0507,                0.75195,                0.90418,                0.84275,                0.78805,                 0.8509,                0.68888,                0.83925,                 0.7854,                0.84406,                0.53831,                0.70324,                0.85243,                 0.7166,                0.88419,               0.006898,               0.006898,               0.006898
                     96,                0.81769,                 1.0542,                0.75214,                0.90336,                0.83203,                0.77007,                0.83684,                0.67348,                0.82724,                0.76567,                0.82996,                 0.5258,                0.71338,                0.85394,                0.76096,                0.88904,               0.006865,               0.006865,               0.006865
                     97,                0.81201,                 1.0537,                0.74495,                0.90484,                0.76585,                0.79677,                0.83481,                0.67544,                0.75778,                0.79372,                0.82538,                0.52647,                0.72666,                 0.8775,                0.75573,                0.89412,               0.006832,               0.006832,               0.006832
                     98,                0.79954,                 1.0166,                0.73571,                0.89981,                0.80968,                0.82732,                0.86429,                0.70214,                0.80237,                0.82021,                0.85397,                0.54674,                0.72229,                0.83812,                0.68216,                0.88911,               0.006799,               0.006799,               0.006799
                     99,                0.79818,                 1.0359,                0.72327,                0.89697,                0.86125,                0.75813,                0.85234,                0.69115,                0.85884,                0.75454,                0.84398,                0.52306,                0.71881,                0.86852,                0.70336,                0.89155,               0.006766,               0.006766,               0.006766
                    100,                0.79368,                 1.0126,                0.72517,                0.89674,                0.83956,                0.77065,                0.85167,                 0.6798,                0.83686,                0.76715,                0.84389,                0.51948,                0.73936,                0.87661,                0.73957,                0.89328,               0.006733,               0.006733,               0.006733
                    101,                0.79058,                 1.0285,                0.73289,                0.89935,                 0.7776,                0.79368,                0.83681,                0.66449,                0.77245,                 0.7871,                0.82075,                0.50858,                0.73313,                 0.8675,                0.79038,                0.89955,                 0.0067,                 0.0067,                 0.0067
                    102,                0.79434,                 1.0368,                0.72499,                 0.8962,                0.83185,                0.80738,                0.86611,                0.70864,                0.83042,                0.80523,                0.85888,                0.55434,                0.70316,                0.82742,                0.70278,                0.88305,               0.006667,               0.006667,               0.006667
                    103,                  0.804,                 1.0232,                0.72265,                0.89638,                0.84315,                0.80276,                0.86922,                0.70111,                0.84103,                 0.7995,                0.86038,                0.54447,                0.70095,                0.82808,                 0.7634,                0.88894,               0.006634,               0.006634,               0.006634
                    104,                0.79845,                 1.0295,                0.71591,                0.89437,                0.84823,                0.80206,                0.86629,                0.69897,                0.84064,                0.79593,                0.85176,                0.52209,                0.72869,                0.86887,                0.75096,                0.89286,               0.006601,               0.006601,               0.006601
                    105,                0.77777,                0.98986,                0.68757,                0.89187,                0.82242,                0.79791,                0.85804,                 0.6916,                0.81703,                0.78176,                0.84377,                0.51471,                0.71431,                0.89397,                0.77965,                0.88736,               0.006568,               0.006568,               0.006568
                    106,                 0.7861,                 1.0322,                0.69526,                0.89485,                0.84718,                0.81773,                0.87422,                0.71374,                0.84059,                0.81146,                0.86178,                0.54883,                0.69797,                0.82256,                0.67357,                  0.887,               0.006535,               0.006535,               0.006535
                    107,                0.77548,                 1.0154,                0.68759,                0.89063,                 0.8188,                0.81015,                0.85759,                0.69107,                0.81194,                 0.8064,                0.84541,                0.53354,                0.71895,                0.86128,                0.76679,                0.89175,               0.006502,               0.006502,               0.006502
